StaffID,Name,Role,Contact,ShiftTiming,AssignedLocationID
S1,StaffName_0,Nurse,111-0,09:00-17:00,9
S2,StaffName_1,Nurse,111-1,09:00-17:00,7
S3,StaffName_2,Nurse,111-2,09:00-17:00,2
S4,StaffName_3,Nurse,111-3,09:00-17:00,1
S5,StaffName_4,Nurse,111-4,09:00-17:00,4
S6,StaffName_5,Nurse,111-5,09:00-17:00,2
S7,StaffName_6,Nurse,111-6,09:00-17:00,5
S8,StaffName_7,Nurse,111-7,09:00-17:00,10
S9,StaffName_8,Nurse,111-8,09:00-17:00,4
S10,StaffName_9,Nurse,111-9,09:00-17:00,5
S11,StaffName_10,Nurse,111-10,09:00-17:00,10
S12,StaffName_11,Nurse,111-11,09:00-17:00,4
S13,StaffName_12,Nurse,111-12,09:00-17:00,7
S14,StaffName_13,Nurse,111-13,09:00-17:00,10
S15,StaffName_14,Nurse,111-14,09:00-17:00,4
S16,StaffName_15,Nurse,111-15,09:00-17:00,8
S17,StaffName_16,Nurse,111-16,09:00-17:00,5
S18,StaffName_17,Nurse,111-17,09:00-17:00,1
S19,StaffName_18,Nurse,111-18,09:00-17:00,5
S20,StaffName_19,Nurse,111-19,09:00-17:00,10
S21,StaffName_20,Nurse,111-20,09:00-17:00,7
S22,StaffName_21,Nurse,111-21,09:00-17:00,1
S23,StaffName_22,Nurse,111-22,09:00-17:00,10
S24,StaffName_23,Nurse,111-23,09:00-17:00,6
S25,StaffName_24,Nurse,111-24,09:00-17:00,1
S26,StaffName_25,Nurse,111-25,09:00-17:00,5
S27,StaffName_26,Nurse,111-26,09:00-17:00,5
S28,StaffName_27,Nurse,111-27,09:00-17:00,8
S29,StaffName_28,Nurse,111-28,09:00-17:00,10
S30,StaffName_29,Nurse,111-29,09:00-17:00,8
S31,StaffName_30,Nurse,111-30,09:00-17:00,9
S32,StaffName_31,Nurse,111-31,09:00-17:00,3
S33,StaffName_32,Nurse,111-32,09:00-17:00,8
S34,StaffName_33,Nurse,111-33,09:00-17:00,1
S35,StaffName_34,Nurse,111-34,09:00-17:00,1
S36,StaffName_35,Nurse,111-35,09:00-17:00,7
S37,StaffName_36,Nurse,111-36,09:00-17:00,3
S38,StaffName_37,Nurse,111-37,09:00-17:00,3
S39,StaffName_38,Nurse,111-38,09:00-17:00,7
